News,Month,Year,label
0,1.0,1991.0,2
0,2.0,1991.0,2
0,3.0,1991.0,2
0,4.0,1991.0,2
0,5.0,1991.0,2
0,6.0,1991.0,2
0,7.0,1991.0,2
0,8.0,1991.0,2
0,9.0,1991.0,2
0,10.0,1991.0,2
0,11.0,1991.0,2
0,12.0,1991.0,2
0,1.0,1992.0,2
0,2.0,1992.0,2
0,3.0,1992.0,2
0,4.0,1992.0,2
0,5.0,1992.0,2
0,6.0,1992.0,2
0,7.0,1992.0,2
0,8.0,1992.0,2
0,9.0,1992.0,2
0,10.0,1992.0,2
0,11.0,1992.0,2
0,12.0,1992.0,2
0,1.0,1993.0,2
0,2.0,1993.0,2
0,3.0,1993.0,2
0,4.0,1993.0,2
0,5.0,1993.0,2
0,6.0,1993.0,2
0,7.0,1993.0,2
0,8.0,1993.0,2
0,9.0,1993.0,2
0,10.0,1993.0,2
0,11.0,1993.0,2
0,12.0,1993.0,2
0,1.0,1994.0,2
0,2.0,1994.0,2
0,3.0,1994.0,2
0,4.0,1994.0,2
0,5.0,1994.0,2
0,6.0,1994.0,2
0,7.0,1994.0,2
0,8.0,1994.0,2
0,9.0,1994.0,2
0,10.0,1994.0,2
0,11.0,1994.0,2
0,12.0,1994.0,2
0,1.0,1995.0,2
0,2.0,1995.0,2
0,3.0,1995.0,2
0,4.0,1995.0,2
0,5.0,1995.0,2
0,6.0,1995.0,2
0,7.0,1995.0,2
0,8.0,1995.0,2
0,9.0,1995.0,2
0,10.0,1995.0,2
0,11.0,1995.0,2
0,12.0,1995.0,2
0,1.0,1996.0,2
0,2.0,1996.0,2
0,3.0,1996.0,2
0,4.0,1996.0,2
0,5.0,1996.0,2
0,6.0,1996.0,2
0,7.0,1996.0,2
0,8.0,1996.0,2
0,9.0,1996.0,2
0,10.0,1996.0,2
0,11.0,1996.0,2
0,12.0,1996.0,2
0,1.0,1997.0,2
0,2.0,1997.0,2
0,3.0,1997.0,2
0,4.0,1997.0,2
0,5.0,1997.0,2
0,6.0,1997.0,2
0,7.0,1997.0,2
0,8.0,1997.0,2
0,9.0,1997.0,2
0,10.0,1997.0,2
0,11.0,1997.0,2
0,12.0,1997.0,2
0,1.0,1998.0,2
0,2.0,1998.0,2
0,3.0,1998.0,2
0,4.0,1998.0,2
0,5.0,1998.0,2
0,6.0,1998.0,2
0,7.0,1998.0,2
0,8.0,1998.0,2
0,9.0,1998.0,2
0,10.0,1998.0,2
0,11.0,1998.0,2
0,12.0,1998.0,2
0,1.0,1999.0,2
0,2.0,1999.0,2
0,3.0,1999.0,2
0,4.0,1999.0,2
0,5.0,1999.0,2
0,6.0,1999.0,2
0,7.0,1999.0,2
0,8.0,1999.0,2
0,9.0,1999.0,2
0,10.0,1999.0,2
0,11.0,1999.0,2
0,12.0,1999.0,2
0,1.0,2000.0,2
0,2.0,2000.0,2
0,3.0,2000.0,2
0,4.0,2000.0,2
0,5.0,2000.0,2
0,6.0,2000.0,2
Bradford gain Intertoto advantage,7.0,2000.0,2
0,8.0,2000.0,2
0,9.0,2000.0,2
0,10.0,2000.0,2
0,11.0,2000.0,2
0,12.0,2000.0,2
0,1.0,2001.0,2
0,2.0,2001.0,2
0,3.0,2001.0,2
0,4.0,2001.0,2
0,5.0,2001.0,2
0,6.0,2001.0,2
0,7.0,2001.0,2
0,8.0,2001.0,2
Why won't Britain jail this war criminal?,9.0,2001.0,1
0,10.0,2001.0,2
0,11.0,2001.0,2
0,12.0,2001.0,2
0,1.0,2002.0,2
0,2.0,2002.0,2
0,3.0,2002.0,2
0,4.0,2002.0,2
0,5.0,2002.0,2
English for peacekeepers,6.0,2002.0,2
0,7.0,2002.0,2
0,8.0,2002.0,2
Europe | Napoleonic mass grave found in Lithuania,9.0,2002.0,2
0,10.0,2002.0,2
0,11.0,2002.0,2
0,12.0,2002.0,2
0,1.0,2003.0,2
0,2.0,2003.0,2
0,3.0,2003.0,2
0,4.0,2003.0,2
0,5.0,2003.0,2
Frozen victims of 1812 get final burial,6.0,2003.0,2
Europe | Polish force heads for Iraq,7.0,2003.0,2
French actor Trintignant dies of head injuriesEurope | French actress Trintignant diesFootball | Celtic 1-1 Arsenal,8.0,2003.0,1
"Candidate country innovativeness still lagging behind EU 15, concludes report",9.0,2003.0,1
0,10.0,2003.0,2
0,11.0,2003.0,2
Esther Levitan,12.0,2003.0,2
0,1.0,2004.0,2
0,2.0,2004.0,2
0,3.0,2004.0,2
A Historic Enlargement: Ten Countries Prepare To Join the European UnionSpring Runoff in the Baltic SeaEurope | Nato marks its eastward expansionEurope | Russia condemns Nato's expansion,4.0,2004.0,2
